"File_Name" "Network_Group_Name" "Network_Name" "Source" "Pubmed_ID"
"108" "Co-expression.Freedman-Nevins-2011.txt" "Co-expression" "Freedman-Nevins-2011" "GEO" 21745407
"109" "Co-expression.Fry-Samson-2008.txt" "Co-expression" "Fry-Samson-2008" "GEO" 18805990
"110" "Co-expression.Gadd-Perlman-2012.txt" "Co-expression" "Gadd-Perlman-2012" "GEO" 22952427
"111" "Co-expression.Gaedcke-Ghadimi-2010.txt" "Co-expression" "Gaedcke-Ghadimi-2010" "GEO" 20725992
"112" "Co-expression.Gao-Sellers-2015.txt" "Co-expression" "Gao-Sellers-2015" "GEO" 26479923
"113" "Co-expression.Garber-Petersen-2001.txt" "Co-expression" "Garber-Petersen-2001" "SUPPLEMENTARY_MATERIAL" 11707590
"114" "Co-expression.Gibault-Aurias-2012.txt" "Co-expression" "Gibault-Aurias-2012" "GEO" 22080063
"115" "Co-expression.Gobble-Singer-2011.txt" "Co-expression" "Gobble-Singer-2011" "GEO" 21335544
"116" "Co-expression.Griffin-Glass-2009.txt" "Co-expression" "Griffin-Glass-2009" "GEO" 19565504
"117" "Co-expression.Grigoryev-Salomon-2010.txt" "Co-expression" "Grigoryev-Salomon-2010" "GEO" 20976225
"118" "Co-expression.Gysin-McMahon-2012.txt" "Co-expression" "Gysin-McMahon-2012" "GEO" 22833572
"119" "Co-expression.Gomez-Abad-Piris-2011.txt" "Co-expression" "Gomez-Abad-Piris-2011" "GEO" 21937691
"120" "Co-expression.Haferlach-Falini-2009.txt" "Co-expression" "Haferlach-Falini-2009" "GEO" 19429869
"121" "Co-expression.Hanamura-Shaughnessy-2006.txt" "Co-expression" "Hanamura-Shaughnessy-2006" "GEO" 16688228
"122" "Co-expression.Hannenhalli-Cappola-2006.txt" "Co-expression" "Hannenhalli-Cappola-2006" "GEO" 16952980
"123" "Co-expression.Harms-Bichakjian-2013.txt" "Co-expression" "Harms-Bichakjian-2013" "GEO" 23223137
"124" "Co-expression.Hatzis-Symmans-2011_A.txt" "Co-expression" "Hatzis-Symmans-2011 A" "GEO" 21558518
"125" "Co-expression.Hatzis-Symmans-2011_B.txt" "Co-expression" "Hatzis-Symmans-2011 B" "GEO" 21558518
"126" "Co-expression.Hatzis-Symmans-2011_C.txt" "Co-expression" "Hatzis-Symmans-2011 C" "GEO" 21558518
"127" "Co-expression.Haugen-Van_Houten-2010.txt" "Co-expression" "Haugen-Van Houten-2010" "GEO" 20090835
"128" "Co-expression.Hegde-Luini-2015.txt" "Co-expression" "Hegde-Luini-2015" "GEO" 26701908
"129" "Co-expression.Hendrix-Cho-2006.txt" "Co-expression" "Hendrix-Cho-2006" "GEO" 16452189
"130" "Co-expression.Hessel-Tilley-2014.txt" "Co-expression" "Hessel-Tilley-2014" "GEO" 24465567
"131" "Co-expression.Heuck-Barlogie-2012.txt" "Co-expression" "Heuck-Barlogie-2012" "GEO" 22855579
"132" "Co-expression.Hinze-Grom-2010.txt" "Co-expression" "Hinze-Grom-2010" "GEO" 20576155
"133" "Co-expression.Hochstenbach-van_Delft-2012.txt" "Co-expression" "Hochstenbach-van Delft-2012" "GEO" 22879202
"134" "Co-expression.Holland-Grimbacher-2007.txt" "Co-expression" "Holland-Grimbacher-2007" "GEO" 17881745
"135" "Co-expression.Holleman-Evans-2004.txt" "Co-expression" "Holleman-Evans-2004" "GEO" 15295046
"136" "Co-expression.Homminga-Meijerink-2011.txt" "Co-expression" "Homminga-Meijerink-2011" "GEO" 21481790
"137" "Co-expression.Honda-Kaneko-2010.txt" "Co-expression" "Honda-Kaneko-2010" "GEO" 20739080
"138" "Co-expression.Horak-Liu-2013.txt" "Co-expression" "Horak-Liu-2013" "GEO" 23340299
"139" "Co-expression.Hou-Philipsen-2010.txt" "Co-expression" "Hou-Philipsen-2010" "GEO" 20421987
"140" "Co-expression.Huang-Perlman-2009.txt" "Co-expression" "Huang-Perlman-2009" "GEO" 19208794
"141" "Co-expression.Hummel-Siebert-2006.txt" "Co-expression" "Hummel-Siebert-2006" "GEO" 16760442
"142" "Co-expression.Hagg-Bjorkegren-2009.txt" "Co-expression" "Hagg-Bjorkegren-2009" "GEO" 19997623
"143" "Co-expression.Ioannidis-Flano-2012.txt" "Co-expression" "Ioannidis-Flano-2012" "GEO" 22398282
"144" "Co-expression.Iqbal-Chan-2010.txt" "Co-expression" "Iqbal-Chan-2010" "GEO" 19965671
"145" "Co-expression.Iwamoto-Kato-2005.txt" "Co-expression" "Iwamoto-Kato-2005" "GEO" 15563509
"146" "Co-expression.Iwamoto-Pusztai-2011.txt" "Co-expression" "Iwamoto-Pusztai-2011" "GEO" 21191116
"147" "Co-expression.Iyer-Brown-1999.txt" "Co-expression" "Iyer-Brown-1999" "SUPPLEMENTARY_MATERIAL" 9872747
"148" "Co-expression.Jones-Libermann-2005.txt" "Co-expression" "Jones-Libermann-2005" "GEO" 16115910
"149" "Co-expression.Jorissen-Sieber-2008.txt" "Co-expression" "Jorissen-Sieber-2008" "GEO" 19088021
"150" "Co-expression.Jorissen-Sieber-2009.txt" "Co-expression" "Jorissen-Sieber-2009" "GEO" 19996206
"151" "Co-expression.Jezequel-Campone-2015.txt" "Co-expression" "Jezequel-Campone-2015" "GEO" 25887482
"152" "Co-expression.Kabbarah-Chin-2010.txt" "Co-expression" "Kabbarah-Chin-2010" "GEO" 20520718
"153" "Co-expression.Kaiser-Aronow-2007.txt" "Co-expression" "Kaiser-Aronow-2007" "GEO" 17615082
"154" "Co-expression.Kang-Willman-2010_A.txt" "Co-expression" "Kang-Willman-2010 A" "GEO" 19880498
"155" "Co-expression.Kang-Willman-2010_B.txt" "Co-expression" "Kang-Willman-2010 B" "GEO" 19880498
"156" "Co-expression.Kannan-Zweidler-McKay-2011.txt" "Co-expression" "Kannan-Zweidler-McKay-2011" "GEO" 21224467
"157" "Co-expression.Kao-Huang-2011.txt" "Co-expression" "Kao-Huang-2011" "GEO" 21501481
"158" "Co-expression.Karlovich-Caulfield-2009.txt" "Co-expression" "Karlovich-Caulfield-2009" "GEO" 19500411
"159" "Co-expression.Karn-Rody-2010.txt" "Co-expression" "Karn-Rody-2010" "GEO" 19455418
"160" "Co-expression.Kikuchi-Sugihara-2013.txt" "Co-expression" "Kikuchi-Sugihara-2013" "GEO" 23065711
"161" "Co-expression.Kim-Green-2011_A.txt" "Co-expression" "Kim-Green-2011 A" "GEO" 21364753
"162" "Co-expression.Kim-Green-2011_B.txt" "Co-expression" "Kim-Green-2011 B" "GEO" 21364753
"163" "Co-expression.Kim-Paik-2011.txt" "Co-expression" "Kim-Paik-2011" "GEO" 21947828
"164" "Co-expression.Klein-Dugas-2009.txt" "Co-expression" "Klein-Dugas-2009" "GEO" 20003504
"165" "Co-expression.Kobayashi-DeLeo-2010.txt" "Co-expression" "Kobayashi-DeLeo-2010" "GEO" 20587998
"166" "Co-expression.Kogo-Mori-2011.txt" "Co-expression" "Kogo-Mori-2011" "GEO" 21862635
"167" "Co-expression.Kohlmann-Haferlach-2008_A.txt" "Co-expression" "Kohlmann-Haferlach-2008 A" "GEO" 18573112
"168" "Co-expression.Kohlmann-Haferlach-2008_B.txt" "Co-expression" "Kohlmann-Haferlach-2008 B" "GEO" 18573112
"169" "Co-expression.Kuehner-Speit-2013.txt" "Co-expression" "Kuehner-Speit-2013" "GEO" 23649840
"170" "Co-expression.LaBreche-Huang-2011.txt" "Co-expression" "LaBreche-Huang-2011" "GEO" 21781289
"171" "Co-expression.Lai-Park-2014.txt" "Co-expression" "Lai-Park-2014" "GEO" 24757178
"172" "Co-expression.Landi-Jen-2008.txt" "Co-expression" "Landi-Jen-2008" "GEO" 18297132
"173" "Co-expression.Lauwerys-Houssiau-2013.txt" "Co-expression" "Lauwerys-Houssiau-2013" "GEO" 23203821
"174" "Co-expression.Lee-Fine-2006.txt" "Co-expression" "Lee-Fine-2006" "GEO" 16697959
"175" "Co-expression.Lee-Kim-2008.txt" "Co-expression" "Lee-Kim-2008" "GEO" 19010856
"176" "Co-expression.Lee-MacDonald-2013.txt" "Co-expression" "Lee-MacDonald-2013" "GEO" 23595883
"177" "Co-expression.Lenz-Staudt-2008.txt" "Co-expression" "Lenz-Staudt-2008" "GEO" 19038878
"178" "Co-expression.Lesluyes-Chibon-2016.txt" "Co-expression" "Lesluyes-Chibon-2016" "GEO" 26916546
"179" "Co-expression.Levy-Hessner-2012_A.txt" "Co-expression" "Levy-Hessner-2012 A" "GEO" 22972474
"180" "Co-expression.Levy-Hessner-2012_B.txt" "Co-expression" "Levy-Hessner-2012 B" "GEO" 22972474
"181" "Co-expression.Lewis-Ortel-2011.txt" "Co-expression" "Lewis-Ortel-2011" "GEO" 21737128
"182" "Co-expression.Li-Ahuja-2014.txt" "Co-expression" "Li-Ahuja-2014" "GEO" 24583822
"183" "Co-expression.Li-Bhatia-2011.txt" "Co-expression" "Li-Bhatia-2011" "GEO" 22094254
"184" "Co-expression.Li-Bleecker-2015.txt" "Co-expression" "Li-Bleecker-2015" "GEO" 26119467
"185" "Co-expression.Li-Han-2009.txt" "Co-expression" "Li-Han-2009" "GEO" 19755675
"186" "Co-expression.Li-Wang-2010_A.txt" "Co-expression" "Li-Wang-2010 A" "GEO" 20098429
"187" "Co-expression.Li-Wang-2010_B.txt" "Co-expression" "Li-Wang-2010 B" "GEO" 20098429
"188" "Co-expression.Liang-Stephan-2007.txt" "Co-expression" "Liang-Stephan-2007" "GEO" 17077275
"189" "Co-expression.Lisowska-Kupryjanczyk-2014.txt" "Co-expression" "Lisowska-Kupryjanczyk-2014" "GEO" 24478986
"190" "Co-expression.Liu-Bratslavsky-2013.txt" "Co-expression" "Liu-Bratslavsky-2013" "GEO" 23136194
"191" "Co-expression.Liu-Godbout-2011.txt" "Co-expression" "Liu-Godbout-2011" "GEO" 21356353
"192" "Co-expression.Liu-Hsieh-2012.txt" "Co-expression" "Liu-Hsieh-2012" "GEO" 22553414
"193" "Co-expression.Lu-Chuang-2010.txt" "Co-expression" "Lu-Chuang-2010" "GEO" 20802022
"194" "Co-expression.Lu-Richardson-2008.txt" "Co-expression" "Lu-Richardson-2008" "GEO" 18297396
"195" "Co-expression.Lucas-Chute-2014.txt" "Co-expression" "Lucas-Chute-2014" "GEO" 25255453
"196" "Co-expression.Lugthart-Evans-2005.txt" "Co-expression" "Lugthart-Evans-2005" "GEO" 15837626
"197" "Co-expression.Maertzdorf-Kaufmann-2011.txt" "Co-expression" "Maertzdorf-Kaufmann-2011" "GEO" 22046420
"198" "Co-expression.Marisa-Boige-2013.txt" "Co-expression" "Marisa-Boige-2013" "GEO" 23700391
"199" "Co-expression.Maser-DePinho-2007.txt" "Co-expression" "Maser-DePinho-2007" "GEO" 17515920
"200" "Co-expression.Mateescu-Mechta-Grigoriou-2011.txt" "Co-expression" "Mateescu-Mechta-Grigoriou-2011" "GEO" 22101765
"201" "Co-expression.Matsuyama-Sugihara-2010.txt" "Co-expression" "Matsuyama-Sugihara-2010" "GEO" 20162577
"202" "Co-expression.Meier-Seiler-2009.txt" "Co-expression" "Meier-Seiler-2009" "GEO" 18728069
"203" "Co-expression.Melis-Farci-2014.txt" "Co-expression" "Melis-Farci-2014" "GEO" 25141867
"204" "Co-expression.Meyer-Debatin-2011.txt" "Co-expression" "Meyer-Debatin-2011" "GEO" 21295523
"205" "Co-expression.Micke-Botling-2011.txt" "Co-expression" "Micke-Botling-2011" "GEO" 22011649
"206" "Co-expression.Miller-Dixon-2007.txt" "Co-expression" "Miller-Dixon-2007" "GEO" 17885619
"207" "Co-expression.Miller-Dixon-2012.txt" "Co-expression" "Miller-Dixon-2012" "GEO" 20697427
"208" "Co-expression.Mills-Haferlach-2009.txt" "Co-expression" "Mills-Haferlach-2009" "GEO" 19443663
"209" "Co-expression.Minn-Massague-2005.txt" "Co-expression" "Minn-Massague-2005" "GEO" 16049480
"210" "Co-expression.Miyake-Noguchi-2012.txt" "Co-expression" "Miyake-Noguchi-2012" "GEO" 22320227
