"","x"
"628","nuf2_human"
"629","nfyc_human"
"630","nfac2_human"
"631","wdr5_human"
"632","phf20_human"
"633","mrgbp_human"
"634","epc1_human"
"635","pb1_human"
"636","ldlr_human"
"637","pdgfd_human"
"638","pfkam_human"
"639","bakor_human"
"640","uvrag_human"
"641","p30613-2"
"642","p14618-1"
"643","p30613-1"
"644","ce152_human"
"645","ce192_human"
"646","dpola_human"
"647","pri1_human"
"648","pparg_human"
"649","ago2_human"
"650","t2fa_human"
"651","rb_human"
"652","rsf1_human"
"653","thb_human"
"654","vdr_human"
"655","p61956-pro_0000035949"
"656","zinc atom"
"657","eny2_human"
"658","tad2b_human"
"659","pote1_human"
"660","md2l2_human"
"661","shld1_human"
"662","sin3a_human"
"663","shcaf_human"
"664","sds3_human"
"665","ari4a_human"
"666","sin3b_human"
"667","cacb1_human"
"668","ccg1_human"
"669","slbp_human"
"670","slx4_human"
"671","spn1_human"
"672","at1b1_human"
"673","atng_human"
"674","sting_human"
"675","pdia3_human"
"676","q9h7e2-3"
"677","tead1_human"
"678","nhp2_human"
"679","t2ag_human"
"680","taf4b_human"
"681","taf13_human"
"682","taf7_human"
"683","telt_human"
"684","tpa_human"
"685","ub2v2_human"
"686","rbcc1_human"
"687","atga1_human"
"688","upar_human"
"689","usf2_human"
"690","osbp1_human"
"691","npl4_human"
"692","vps4b_human"
